"Model","Metric","Value"
"Arithmatic Mean","MAE",9.90647796678498
"Arithmatic Mean","MSE",315.711353175726
"Arithmatic Mean","RMSE",17.7682681535294
"Kriging","MAE",9.76836661359329
"Kriging","MSE",365.424595202357
"Kriging","RMSE",19.1160821091132
"XGB Poisson Spat.","MAE",7.31187522625852
"XGB Poisson Spat.","MSE",314.606340303991
"XGB Poisson Spat.","RMSE",17.7371457767024
"XGB Poisson","MAE",7.32049363485055
"XGB Poisson","MSE",285.658489152466
"XGB Poisson","RMSE",16.9014345294258
"XBG Tweedie Spat.","MAE",8.91721317074984
"XBG Tweedie Spat.","MSE",460.000318498599
"XBG Tweedie Spat.","RMSE",21.4476180145628
"XGB Tweedie","MAE",5.90443770756462
"XGB Tweedie","MSE",171.526965298787
"XGB Tweedie","RMSE",13.0968303531346
