"Model","Metric","Value"
"Arithmatic Mean","MAE",9.90647796678498
"Arithmatic Mean","MSE",315.711353175726
"Arithmatic Mean","RMSE",17.7682681535294
"Kriging","MAE",9.76836661359329
"Kriging","MSE",365.424595202357
"Kriging","RMSE",19.1160821091132
"XGB Poisson Spat.","MAE",7.04549673087981
"XGB Poisson Spat.","MSE",277.304772650094
"XGB Poisson Spat.","RMSE",16.6524704668735
"XGB Poisson","MAE",5.79815413989127
"XGB Poisson","MSE",160.32715850506
"XGB Poisson","RMSE",12.662036112137
"XBG Tweedie Spat.","MAE",5.62308186521167
"XBG Tweedie Spat.","MSE",169.979787771721
"XBG Tweedie Spat.","RMSE",13.037629683793
"XGB Tweedie","MAE",5.62308186521167
"XGB Tweedie","MSE",169.979787771721
"XGB Tweedie","RMSE",13.037629683793
